"part_id","cont_id","cnt_age_exact","cnt_age_est_min","cnt_age_est_max","cnt_gender","cnt_home","cnt_work","cnt_school","cnt_transport","cnt_leisure","cnt_otherplace","frequency_multi","phys_contact","duration_multi"
15,1503,38,38,NA,"F",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1,1,5
15,1504,71,71,NA,"M",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5
15,1505,29,29,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,3
15,1506,65,65,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5
15,1507,37,37,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4
16,1601,34,34,NA,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,4
16,1602,68,68,NA,"M",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,3
16,1603,55,55,NA,"M",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,2,3
16,1604,5,5,NA,"M",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,5
16,1605,34,34,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
16,1606,5,5,NA,"M",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,5
16,1607,34,34,NA,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,4
16,1608,61,61,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,3
16,1609,24,24,NA,"M",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,2,3
16,1610,5,5,NA,"M",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,4
16,1611,5,5,NA,"M",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,4
16,1612,5,5,NA,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,4
16,1613,5,5,NA,"M",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,5
16,1614,27,27,NA,"F",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,2,3
16,1615,9,9,NA,"F",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,2,3
